aba,1=阿爸
aomen,1=澳门
aomi,1=奥秘
aoman,1=傲慢
aomian,1=凹面
aomiao,1=奥妙
aonao,1=懊恼
aoqi,1=傲气
aoren,1=傲人
aoran,1=傲然
aosang,1=懊丧
aotang,1=熬汤
aotuo,1=奥拓
aotu,1=凹凸
aotou,1=鳌头
aoshi,1=傲视
aoshu,1=奥数
aozhi,1=熬制
aozhan,1=鏖战
aozhu,1=熬煮
aozhou,1=澳洲
aozhou,1=熬着
aoxiang,1=翱翔
aoxian,1=凹陷
aoxia,1=凹下
aoyao,1=熬药
aoye,1=熬夜
aoyi,1=奥义
aoying,1=熬鹰
aoyuan,1=澳元
aoyun,1=奥运
aoyou,1=遨游
anpaianpai,1=安排安排
anpinledao,1=安贫乐道
aiqibuxing,1=哀其不幸
anquandai,1=安全带
anquandiyi,1=安全第一
anquangan,1=安全感
aiqinhai,1=爱琴海
aiqingjiagenggao,1=爱情价更高
anquanju,1=安全局
anqianmahou,1=鞍前马后
aiqingpian,1=爱情片
anquanqijian,1=安全起见
aiqianruming,1=爱钱如命
anquanxing,1=安全性
anquanxishu,1=安全系数
anranrugu,1=安然如故
anranrumian,1=安然入眠
anranrushui,1=安然入睡
aorantingli,1=傲然挺立
anrutaishan,1=安如泰山
anranshise,1=黯然失色
anranshenshang,1=黯然神伤
anranwushi,1=安然无事
anranwuyang,1=安然无恙
anranxiaohun,1=黯然销魂
aoranyili,1=傲然屹立
anranziruo,1=安然自若
asaibaijiang,1=阿塞拜疆
aisaiebiya,1=埃塞俄比亚
aisenhaoweier,1=艾森豪威尔
aisijimo,1=爱斯基摩
aosika,1=奥斯卡
aosilu,1=奥斯陆
asimala,1=阿斯马拉
asipilin,1=阿司匹林
ansongqiubo,1=暗送秋波
aositing,1=奥斯汀
asitana,1=阿斯塔纳
aotubuping,1=凹凸不平
aotoujing,1=凹透镜
antongkuanqu,1=暗通款曲
aoteman,1=奥特曼
antusuoji,1=按图索骥
antusheng,1=安徒生
antuzhongqian,1=安土重迁
aitongyujue,1=哀痛欲绝
aotuyouzhi,1=凹凸有致
aishouaijiao,1=碍手碍脚
anshoubenfen,1=安守本分
aishuobushuo,1=爱说不说
anshendingpo,1=安神定魄
ashenhabade,1=阿什哈巴德
angshoukuobu,1=昂首阔步
anshikuixin,1=暗室亏心
anshenliming,1=安身立命
ashima,1=阿诗玛
aishaniya,1=爱沙尼亚
aoshiqunxiong,1=傲视群雄
aishengtanqi,1=唉声叹气
angshoutingxiong,1=昂首挺胸
aisheishei,1=爱谁谁
anshenzhidi,1=安身之地
anshenzhichu,1=安身之处
anshizhiluan,1=安史之乱
anshenzhisuo,1=安身之所
aishengwusi,1=爱生恶死
angshouwangtian,1=昂首望天
anzhuangban,1=安装版
anzhenerwo,1=安枕而卧
anzhifeifu,1=安知非福
anzhifeihuo,1=安知非祸
anzhuangmulu,1=安装目录
anzhongmosuo,1=暗中摸索
anzhiruosu,1=安之若素
anzhenwuyou,1=安枕无忧
aizhiyuqisheng,1=爱之欲其生
anweianwei,1=安慰安慰
aoweihui,1=奥委会
aiwujiwu,1=爱屋及乌
anwutianri,1=暗无天日
aixibao,1=癌细胞
aixinbuxin,1=爱信不信
anxiangcaozuo,1=暗箱操作
anxufenpei,1=按需分配
anxiahuluqilaipiao,1=按下葫芦起来瓢
aixinjueluo,1=爱新觉罗
anxiajuexin,1=暗下决心
axiuluo,1=阿修罗
anxinleyi,1=安心乐意
anxiangshuying,1=暗香疏影
anxiangwannian,1=安享晚年
aixiyumao,1=爱惜羽毛
aoyunhui,1=奥运会
aiyijie,1=矮一截
aiyinsitan,1=爱因斯坦
anyingzhazhai,1=安营扎寨
aiyouwei,1=哎呦喂
anyuxianzhuang,1=安于现状
aizibing,1=艾滋病
aizengfenming,1=爱憎分明
azapocai,1=腌臜泼才
anziqingxing,1=暗自庆幸
aizazade,1=爱咋咋地
baba,1=爸爸
babao,1=八宝
babai,1=八百
babi,1=芭比
babing,1=把柄
bacao,1=拔草
baceng,1=八层
bada,1=吧嗒
badao,1=霸道
badian,1=八点
badiao,1=拔掉
badou,1=巴豆
beiaierlan,1=北爱尔兰
bafeng,1=把风
bafang,1=八方
bagao,1=拔高
bage,1=八个
bage,1=八哥
baguang,1=扒光
baguo,1=八国
baguan,1=把关
bagong,1=罢工
bagu,1=八股
bagua,1=八卦
baha,1=巴哈
bahe,1=拔河
bahen,1=疤痕
bahuang,1=八荒
bahu,1=跋扈
buanhaoxin,1=不安好心
bache,1=扒车
bacheng,1=八成
bachang,1=靶场
bachi,1=把持
buanchangli,1=不按常理
buanchanglichupai,1=不按常理出牌
bachu,1=拔出
baji,1=吧唧
bajian,1=拔尖
bajiao,1=八角
bajiao,1=芭蕉
bajie,1=巴结
bajiu,1=八九
bakai,1=扒开
bake,1=罢课
bakuai,1=八块
bakong,1=把控
baku,1=巴库
bala,1=扒拉
balin,1=巴林
bale,1=罢了
bali,1=巴黎
baling,1=霸凌
baliang,1=八两
balu,1=八路
balei,1=芭蕾
bama,1=爸妈
bamao,1=拔毛
bamai,1=把脉
bamen,1=把门
baming,1=八名
bamian,1=罢免
banian,1=八年
banong,1=把弄
bapi,1=扒皮
baqi,1=霸气
baqian,1=八千
baquan,1=霸权
buanquan,1=不安全
baqu,1=拔取
bari,1=八日
basai,1=罢赛
basang,1=巴桑
basi,1=拔丝
basui,1=八岁
batai,1=吧台
batian,1=八天
batui,1=拔腿
bashe,1=跋涉
bashi,1=八十
bashi,1=巴士
bashan,1=巴山
bashu,1=巴蜀
buanshishi,1=不谙世事
bashou,1=把手
bashou,1=把守
bazhe,1=八折
bazhang,1=巴掌
bazhan,1=霸占
bazhu,1=霸主
bawen,1=把稳
bawang,1=霸王
bawan,1=把玩
bawan,1=八万
bawo,1=把握
baxin,1=靶心
baxi,1=巴西
baxi,1=把戏
baxian,1=八仙
baxiu,1=罢休
baxia,1=拔下
baxun,1=八旬
baya,1=拔牙
bayin,1=八音
baye,1=霸业
bayi,1=八一
baying,1=拔营
bayue,1=八月
bazi,1=八字
baoanzu,1=保安族
binbin,1=彬彬
baobubao,1=包不包
bubibuzhidao,1=不比不知道
bangbubang,1=帮不帮
bingbubi,1=并不比
bubeibukang,1=不卑不亢
baibingbuqin,1=百病不侵
bububu,1=不不不
baobianbuyi,1=褒贬不一
banbudao,1=办不到
banbandiandian,1=斑斑点点
babude,1=巴不得
bubudenggao,1=步步登高
bingbuduojian,1=并不多见
bubiduoli,1=不必多礼
baibandiaonan,1=百般刁难
babaduosi,1=巴巴多斯
baobandaiti,1=包办代替
bubidangzhen,1=不必当真
bibudeyi,1=逼不得已
binfa,1=鬓发
binfen,1=缤纷
benbenfenfen,1=本本分分
baibanfengcheng,1=百般奉承
baibanfuwei,1=百般抚慰
bibuguo,1=比不过
binguan,1=宾馆
bubugaosheng,1=步步高升
binhai,1=滨海
binhe,1=滨河
bibihuahua,1=比比划划
binhu,1=滨湖
bingbuhui,1=并不会
baobanhunyin,1=包办婚姻
banbucheng,1=办不成
baibingchanshen,1=百病缠身
baibuchuanyang,1=百步穿杨
bubujinbi,1=步步紧逼
baibaijingjing,1=白白净净
bianbianjiaojiao,1=边边角角
binjiang,1=滨江
bianbenjiali,1=变本加厉
binjiao,1=鬓角
bibijieshi,1=比比皆是
biaobenjianzhi,1=标本兼治
bubujingxin,1=步步惊心
binke,1=宾客
bubaokuo,1=不包括
bibukeque,1=必不可缺
bibukeshao,1=必不可少
binlin,1=濒临
baibailangfei,1=白白浪费
bubulianhua,1=步步莲花
binli,1=宾利
babaili,1=八百里
bingbingliangliang,1=冰冰凉凉
banboluli,1=斑驳陆离
binlian,1=殡殓
bianbalinglaixing,1=便把令来行
babilun,1=巴比伦
binmao,1=鬓毛
babamai,1=把把脉
bangbangmang,1=帮帮忙
babamama,1=爸爸妈妈
biebunaifan,1=别不耐烦
bingbuneng,1=并不能
baibainennen,1=白白嫩嫩
binpeng,1=宾朋
baobuping,1=抱不平
baibuping,1=摆不平
baibaipangpang,1=白白胖胖
biaobingqiangu,1=彪炳千古
binqi,1=摈弃
bobieqianli,1=跛鳖千里
beibanqiu,1=北半球
bingbairushandao,1=兵败如山倒
bingburenwei,1=并不认为
bingburongyi,1=并不容易
binsi,1=濒死
bangbangtang,1=棒棒糖
banbiantian,1=半边天
bengbengtiaotiao,1=蹦蹦跳跳
biaobingshice,1=彪炳史册
bibushang,1=比不上
bingbushi,1=并不是
bubushenglian,1=步步生莲
bangbushangmang,1=帮不上忙
bingbushishuo,1=并不是说
baibaishou,1=摆摆手
bingbuzhidao,1=并不知道
babaizhijiao,1=八拜之交
baibanzhemo,1=百般折磨
binzhu,1=宾主
bingbizhishu,1=秉笔直书
bubianzhenwei,1=不辨真伪
bubaizhiyuan,1=不白之冤
babaozhou,1=八宝粥
beibiwuchi,1=卑鄙无耻
beibuwan,1=北部湾
beibiwunai,1=被逼无奈
bingbuwanquan,1=并不完全
binwei,1=濒危
baibiweixia,1=白璧微瑕
bubuweiying,1=步步为营
biebuxin,1=别不信
bingbuxiang,1=并不想
bingbuxueren,1=兵不血刃
bingbuxuyao,1=并不需要
bubiyao,1=不必要
bingbuyiding,1=并不一定
baobaoyanfu,1=饱饱眼福
beibingyang,1=北冰洋
binyi,1=殡仪
binbinyouli,1=彬彬有礼
binyu,1=宾语
bingbuyanzha,1=兵不厌诈
bingbuyiwai,1=并不意外
bubiyanxie,1=不必言谢
babuyaxinjineiya,1=巴布亚新几内亚
binzang,1=殡葬
banbeizi,1=半辈子
baibanzunao,1=百般阻挠
bubazijidangwairen,1=不把自己当外人
bubizaiyi,1=不必在意
baoan,1=保安
baobao,1=宝宝
baoben,1=保本
baobi,1=包庇
baoban,1=包办
baoban,1=薄板
baobing,1=刨冰
baobian,1=褒贬
baobiao,1=保镖
baobiao,1=报表
baobei,1=宝贝
baocai,1=包菜
baocang,1=爆仓
baocan,1=饱餐
baocuo,1=报错
baocun,1=保存
baoda,1=报答
baodao,1=报道
baodao,1=报到
baodi,1=保底
baodi,1=宝地
baodan,1=保单
baoding,1=保定
baodian,1=宝典
baodie,1=暴跌
baoduan,1=报端
baodong,1=暴动
baodu,1=报毒
baodu,1=饱读
bucierbie,1=不辞而别
baoe,1=保额
baoen,1=报恩
baofa,1=爆发
baofen,1=孢粉
baofeng,1=暴风
baofang,1=包房
baofan,1=包饭
baofu,1=报复
baofu,1=包袱
baofei,1=报废
bucefengyun,1=不测风云
baogao,1=报告
baogai,1=宝盖
baoge,1=饱嗝
baogang,1=宝钢
baogan,1=包干
baoguang,1=曝光
bencaogangmu,1=本草纲目
baoguo,1=包裹
baoguan,1=保管
baogong,1=包公
baogu,1=包谷
baogui,1=宝贵
baogei,1=包给
baohao,1=包好
baohe,1=饱和
baohen,1=抱恨
baohan,1=包含
baohuang,1=保皇
baohuan,1=包换
baohu,1=保护
baocanghuoxin,1=包藏祸心
baocha,1=宝刹
baochao,1=爆炒
baochao,1=包抄
baoche,1=包车
baocheng,1=报称
baochang,1=包场
baochang,1=饱尝
baochi,1=保持
baochuang,1=刨床
baochu,1=爆出
baochun,1=报春
baochou,1=报仇
baochou,1=报酬
baojin,1=抱紧
bucunjiedi,1=不存芥蒂
baoji,1=宝鸡
baojing,1=报警
baojiang,1=褒奖
baojian,1=保健
baojian,1=宝剑
baojie,1=保洁
baoju,1=保举
baojia,1=报价
baojun,1=暴君
baokao,1=报考
baokai,1=爆开
baoke,1=剥壳
baokan,1=报刊
baokuo,1=包括
bingcongkouru,1=病从口入
baokong,1=暴恐
baoku,1=宝库
baokui,1=抱愧
baole,1=报了
bucuole,1=不错了
baoleng,1=爆冷
baoli,1=暴力
baolan,1=包揽
bucilaoku,1=不辞劳苦
baoliao,1=爆料
baoluo,1=包罗
baolie,1=爆裂
baoliu,1=保留
baoluan,1=暴乱
baolu,1=暴露
baolei,1=堡垒
baoma,1=宝马
baicimobian,1=百辞莫辩
baomi,1=保密
baoman,1=饱满
baoming,1=报名
baomo,1=薄膜
baomu,1=保姆
baomu,1=报幕
baomei,1=胞妹
baoni,1=包你
baonian,1=包年
baonuan,1=保暖
baonue,1=暴虐
baonu,1=暴怒
baopeng,1=爆棚
baopi,1=报批
baopan,1=报盘
baopian,1=薄片
baopiao,1=包票
baopo,1=爆破
baopei,1=包赔
baoqi,1=抱起
baoqing,1=报请
baoqian,1=抱歉
baoquan,1=保全
baoqu,1=抱屈
baoren,1=保人
baoran,1=爆燃
baorong,1=包容
baosang,1=报丧
baosi,1=暴死
baosong,1=报送
baota,1=宝塔
baotai,1=爆胎
baotang,1=煲汤
baotan,1=报摊
baoting,1=报亭
baotiao,1=暴跳
baotuan,1=抱团
baotu,1=暴徒
baotui,1=包退
baotou,1=包头
baosha,1=薄纱
baoshai,1=暴晒
baoshe,1=报社
baoshen,1=报审
baoshang,1=报上
baoshi,1=宝石
baoshan,1=宝山
baocanshouque,1=抱残守缺
baoshu,1=报数
baoshui,1=报税
baoshou,1=保守
baozha,1=爆炸
baozhe,1=抱着
baozhen,1=抱枕
baozhen,1=保真
baozheng,1=保证
baozhang,1=保障
baozhang,1=暴涨
baozhi,1=报纸
baozhan,1=报站
baozhuang,1=包装
beicongzhonglai,1=悲从中来
baozhong,1=保重
baozhu,1=抱住
baozhun,1=保准
baozhou,1=煲粥
biancaiwuai,1=辩才无碍
baowen,1=保温
bociwana,1=博茨瓦纳
baowu,1=宝物
baowei,1=保卫
baowei,1=包围
baoxin,1=报信
baoxi,1=报喜
baoxing,1=暴行
baoxiang,1=包厢
bucixinlao,1=不辞辛劳
baoxian,1=保险
baoxian,1=保鲜
baoxiao,1=报销
baoxiu,1=保修
baoxiong,1=胞兄
baoxue,1=暴雪
baoxia,1=包下
baoxun,1=报讯
baoya,1=龅牙
baoyin,1=暴饮
baocanyidun,1=饱餐一顿
baoye,1=包夜
baoye,1=报业
baoyang,1=保养
baoyi,1=报以
baoyi,1=褒义
baoying,1=报应
baoyuan,1=抱怨
baoyue,1=包月
baoyu,1=暴雨
baoyou,1=包邮
baoyou,1=保佑
baoza,1=包扎
baozao,1=暴躁
baozai,1=包在
baozeng,1=暴增
baozang,1=宝藏
baozi,1=包子
baozi,1=豹子
baozuo,1=宝座
baozu,1=包租
baozou,1=暴走
budeanning,1=不得安宁
baiba,1=拜把
baibao,1=百宝
baibai,1=拜拜
budebufu,1=不得不服
baibi,1=败笔
baiban,1=白班
baiban,1=百般
baibing,1=百病
baodaobulao,1=宝刀不老
baibian,1=百变
budaibiao,1=不代表
baibie,1=拜别
baidubuqin,1=百毒不侵
budebuditou,1=不得不低头
baibu,1=摆布
budebu,1=不得不
budabuxiangshi,1=不打不相识
baibei,1=百倍
budabuxiao,1=不大不小
baidubuyan,1=百读不厌
baicao,1=百草
baicai,1=白菜
baicu,1=白醋
baida,1=百搭
baida,1=白搭
baidao,1=拜倒
baidai,1=白带
baidi,1=白底
budandan,1=不单单
budaduijin,1=不大对劲
baiding,1=白丁
baidian,1=白点
baidong,1=摆动
budengdayazhitang,1=不登大雅之堂
baidu,1=百度
baidu,1=拜读
budengdaya,1=不登大雅
beidaoerchi,1=背道而驰
badierqi,1=拔地而起
budeerzhi,1=不得而知
baifa,1=白发
baifen,1=百分
beiduofen,1=贝多芬
baidianfeng,1=白癜风
baifang,1=拜访
baifang,1=摆放
baifan,1=白饭
baifo,1=拜佛
baifei,1=白费
baige,1=白鸽
bodegelicha,1=波德戈里察
baigan,1=白干
baiguang,1=白光
baiguo,1=白果
baiguan,1=百官
baigong,1=白宫
baigu,1=白骨
baigei,1=白给
baigei,1=败给
baidagua,1=白大褂
baihao,1=摆好
baihe,1=百合
beidaihe,1=北戴河
baihuai,1=败坏
biedehuang,1=憋得慌
baihuo,1=百货
budehaosi,1=不得好死
budaohuanghexinbusi,1=不到黄河心不死
baihu,1=白虎
baihui,1=拜会
baihua,1=白话
baidiheizi,1=白底黑字
baihou,1=白喉
baicha,1=白茶
baiche,1=掰扯
budaochangchengfeihaohan,1=不到长城非好汉
baichi,1=白痴
budongchan,1=不动产
baichuan,1=百川
baichu,1=摆出
baichu,1=百出
baijin,1=白金
buduijin,1=不对劲
bingduojiangguang,1=兵多将广
budangjiabuzhichaimigui,1=不当家不知柴米贵
baiji,1=败绩
baijing,1=白净
baijiang,1=败将
baijian,1=拜见
baijian,1=摆件
baijiu,1=白酒
baijuan,1=白卷
baiju,1=败局
bodajingshen,1=博大精深
budongjiuwen,1=不懂就问
baijia,1=败家
baijia,1=百家
baijun,1=败军
baikai,1=掰开
baikai,1=摆开
baike,1=百科
biandikaihua,1=遍地开花
budakeneng,1=不大可能
baikuo,1=摆阔
beidaketa,1=北达科他
budakuangyu,1=不打诳语
baikou,1=败寇
baila,1=白蜡
baile,1=白了
budalagong,1=布达拉宫
beidili,1=背地里
baili,1=百里
bailing,1=白领
budelele,1=不得了了
bailiang,1=百两
bailian,1=白脸
budeliao,1=不得了
bailuo,1=败落
bailie,1=摆列
biedaoluan,1=别捣乱
bailu,1=白露
bailu,1=白鹭
bailu,1=败露
bailei,1=败类
baima,1=白马
baimao,1=白猫
budamudi,1=不达目的
baimang,1=白忙
bangdaomang,1=帮倒忙
baimi,1=百米
baiman,1=摆满
baiming,1=摆明
baimian,1=白面
baimiao,1=白描
baimo,1=白沫
bainen,1=白嫩
biaodanengli,1=表达能力
bainian,1=百年
bainian,1=拜年
